minute	timestamp	pid	pss_kb	rss_kb	swap_pss_kb	graphics_kb	cpu_snapshot
0	2026-08-21T09:45:55+0700	21504	343328	464948	380	146304	+0% 21504/com.lumi.lumilife: 0% user  0% kernel
1	2026-08-21T09:46:57+0700	21504	359449	482280	224	148180	+0% 21504/com.lumi.lumilife: 0% user  0% kernel
2	2026-08-21T09:47:56+0700	21504	352350	476008	224	150828	+0% 21504/com.lumi.lumilife: 0% user  0% kernel
3	2026-08-21T09:48:55+0700	21504	343469	465788	220	139648	128% 21504/com.lumi.lumilife: 79% user  49% kernel / faults: 279436 minor 194 major
4	2026-08-21T09:49:54+0700	21504	341243	459368	227	139784	138% 21504/com.lumi.lumilife: 84% user  54% kernel / faults: 19121 minor 1 major
5	2026-08-21T09:50:53+0700	21504	339168	457256	227	139624	140% 21504/com.lumi.lumilife: 86% user  53% kernel / faults: 38267 minor 3 major
6	2026-08-21T09:51:52+0700	21504	331973	456116	1972	139816	140% 21504/com.lumi.lumilife: 86% user  53% kernel / faults: 38267 minor 3 major
7	2026-08-21T09:52:51+0700	21504	328002	452324	2052	139648	140% 21504/com.lumi.lumilife: 86% user  53% kernel / faults: 38267 minor 3 major
8	2026-08-21T09:53:50+0700	21504	326949	450748	2032	132564	140% 21504/com.lumi.lumilife: 86% user  53% kernel / faults: 38267 minor 3 major
9	2026-08-21T09:54:49+0700	21504	329275	452900	2032	135616	131% 21504/com.lumi.lumilife: 80% user  51% kernel / faults: 249391 minor 10 major
10	2026-08-21T09:55:48+0700	21504	329209	449596	5060	131840	131% 21504/com.lumi.lumilife: 80% user  51% kernel / faults: 249391 minor 10 major
11	2026-08-21T09:56:47+0700	21504	324542	440152	6756	133676	131% 21504/com.lumi.lumilife: 80% user  51% kernel / faults: 249391 minor 10 major
12	2026-08-21T09:57:45+0700	21504	321662	435680	6756	133948	132% 21504/com.lumi.lumilife: 80% user  51% kernel / faults: 181029 minor 6 major
13	2026-08-21T09:58:44+0700	21504	323733	437356	6756	134060	132% 21504/com.lumi.lumilife: 80% user  51% kernel / faults: 181029 minor 6 major
14	2026-08-21T09:59:43+0700	21504	326678	438012	6756	140336	132% 21504/com.lumi.lumilife: 79% user  53% kernel / faults: 16710 minor
15	2026-08-21T10:00:42+0700	21504	309767	413380	10173	140184	132% 21504/com.lumi.lumilife: 79% user  53% kernel / faults: 16710 minor
16	2026-08-21T10:01:44+0700	21504	299415	402812	10264	124272	132% 21504/com.lumi.lumilife: 79% user  53% kernel / faults: 16710 minor
17	2026-08-21T10:02:43+0700	21504	307902	411132	10257	129860	132% 21504/com.lumi.lumilife: 79% user  53% kernel / faults: 16710 minor
18	2026-08-21T10:03:42+0700	21504	298391	401488	10257	127560	132% 21504/com.lumi.lumilife: 79% user  53% kernel / faults: 16710 minor
19	2026-08-21T10:04:41+0700	21504	301761	404604	10257	134344	129% 21504/com.lumi.lumilife: 78% user  50% kernel / faults: 300423 minor 155 major
20	2026-08-21T10:05:40+0700	21504	310923	409156	15063	137936	129% 21504/com.lumi.lumilife: 78% user  50% kernel / faults: 300423 minor 155 major
21	2026-08-21T10:06:39+0700	21504	303859	401992	15063	138508	129% 21504/com.lumi.lumilife: 78% user  50% kernel / faults: 300423 minor 155 major
22	2026-08-21T10:07:38+0700	21504	293949	386800	20307	131284	129% 21504/com.lumi.lumilife: 78% user  50% kernel / faults: 300423 minor 155 major
23	2026-08-21T10:08:37+0700	21504	304110	396568	20287	137564	129% 21504/com.lumi.lumilife: 78% user  50% kernel / faults: 300423 minor 155 major
24	2026-08-21T10:09:36+0700	21504	317669	412388	18103	142940	131% 21504/com.lumi.lumilife: 79% user  52% kernel / faults: 41273 minor 553 major
25	2026-08-21T10:10:35+0700	21504	313991	408656	18099	145220	131% 21504/com.lumi.lumilife: 79% user  52% kernel / faults: 41273 minor 553 major
26	2026-08-21T10:11:34+0700	21504	318003	412760	18095	146720	131% 21504/com.lumi.lumilife: 79% user  52% kernel / faults: 41273 minor 553 major
27	2026-08-21T10:12:33+0700	21504	318380	413088	18095	146584	131% 21504/com.lumi.lumilife: 79% user  52% kernel / faults: 41273 minor 553 major
28	2026-08-21T10:13:31+0700	21504	312450	407252	18095	139828	131% 21504/com.lumi.lumilife: 79% user  52% kernel / faults: 41273 minor 553 major
29	2026-08-21T10:14:30+0700	21504	309578	404288	18095	140196	131% 21504/com.lumi.lumilife: 79% user  52% kernel / faults: 41273 minor 553 major
30	2026-08-21T10:15:29+0700	21504	315451	410124	18135	145628	121% 21504/com.lumi.lumilife: 72% user  49% kernel / faults: 296725 minor 5 major
